"type","modified","rightsHolder","bibilographicCititation","InstitutionID","CollectionID","datasetID","datasetName","institutionCode","verbatimLocation","locationID","verbatimLatitude","verbatimLongitude","verbatimWaterbody","verbatimCoordinateSystem","StateProvince","decimalLatitude","decimalLongitude","geodeticDatum","eventID","verbatimlocationID","Year","Time","verbatimEventDate","samplingProtocol","fieldNotes","Date","BFWidth","Grad","RchLen","BFWDRatio","BFHeight","WetWidth","WetWidthToDepth","RPD","PctPool","PctDry","StreamOrder","D50","PctFines2","PctFines6","LWDFreq","LWDVol","OEratio","MMI","Program"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.73022,-116.10283,"LITTLE JACKS",NA,"ID",NA,NA,NA,NA,"1993SBOIA049",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.13492,-115.98106,"TWENTYMILE CREEK",NA,"ID",NA,NA,NA,NA,"1995SBOIC020",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.68706,-112.2835,"BELL MARSH CREEK",NA,"ID",NA,NA,NA,NA,"1995SPOCA003",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3463,-116.23931,"SECOND FORK SQUAW CREEK",NA,"ID",NA,NA,NA,NA,"1997SBOIA019",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.47557,-115.3236,"DAGGER CREEK",NA,"ID",NA,NA,NA,NA,"1997SBOIB071",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.05314,-114.56209,"HOO DOO CREEK",NA,"ID",NA,NA,NA,NA,"1997SIDFM118",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.72383,-112.42346,"WEST FORK MINK CREEK",NA,"ID",NA,NA,NA,NA,"1997SPOCA004",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.36224,-112.69213,"WEBBER CREEK",NA,"ID",NA,NA,NA,NA,"1998SIDFA041",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.00835,-113.45559,"LIME CREEK",NA,"ID",NA,NA,NA,NA,"1998SIDFB065",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.14997,-113.69495,"EAST FORK PAHSIMEROI",NA,"ID",NA,NA,NA,NA,"1998SIDFB124",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.08026,-114.26379,"GOOSE CREEK",NA,"ID",NA,NA,NA,NA,"2002STWFV008",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.02202,-114.53395,"SHOSHONE CREEK",NA,"ID",NA,NA,NA,NA,"2004SDEQA013",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.35901,-104.76432,"CHERRY CREEK",NA,"CO",NA,NA,NA,NA,"CC0001",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.950878,-94.089731,"BEAVER BRANCH",NA,"IA",NA,NA,NA,NA,"IAW02344-0096",2004,NA,NA,NA,NA,NA,6.6636363636,0.19,198,5.6114943166,0.7090909091,5.01,11.558485399,15.971969697,10,0,NA,NA,76.19047619,28.571428571,NA,0.0006775807,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.950878,-94.089731,"BEAVER BRANCH",NA,"IA",NA,NA,NA,NA,"IAW02344-0096",2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EPA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.332723,-95.400885,"WEST NISHNABOTNA RIVER",NA,"IA",NA,NA,NA,NA,"IAW02344-0097",2004,NA,NA,NA,NA,NA,38.845454545,0.1,990,19.35817017,1.0636363636,31.12,33.609310018,15.338888889,2,0,NA,NA,94.285714286,30.476190476,NA,0.000881478,NA,NA,"EPA"
