"SpatialReferenceID","verbatimLatitude","verbatimLongitude","samplingFeatureName","Program"
NA,32.87094,-109.19751,NA,"NRSA"
NA,34.52014,-111.78366,NA,"NRSA"
NA,33.9124,-109.35581,NA,"NRSA"
NA,33.71258,-110.84657,NA,"NRSA"
NA,34.35257,-113.21808,NA,"NRSA"
NA,33.59193,-109.32201,NA,"NRSA"
NA,34.29193,-110.81325,NA,"NRSA"
NA,33.46021,-109.1817,NA,"NRSA"
NA,33.681,-109.44518,NA,"NRSA"
NA,34.67929,-111.95341,NA,"NRSA"
NA,37.68178,-119.53587,NA,"NRSA"
NA,40.86244,-122.90169,NA,"NRSA"
NA,41.22948,-120.40485,NA,"NRSA"
NA,39.41396,-120.98036,NA,"NRSA"
NA,39.81211,-120.68135,NA,"NRSA"
NA,34.61359,-118.77983,NA,"NRSA"
NA,34.43957,-118.75907,NA,"NRSA"
NA,34.5196,-119.40537,NA,"NRSA"
NA,33.77174,-116.76959,NA,"NRSA"
NA,34.65136,-119.11845,NA,"NRSA"
NA,34.55085,-120.35832,NA,"NRSA"
NA,34.16471,-116.97444,NA,"NRSA"
NA,34.23908,-118.18059,NA,"NRSA"
NA,34.49347,-118.45703,NA,"NRSA"
NA,34.55841,-119.14079,NA,"NRSA"
NA,41.0483,-122.65529,NA,"NRSA"
NA,40.62725,-123.37293,NA,"NRSA"
NA,39.18657,-123.54806,NA,"NRSA"
NA,41.3626,-122.51875,NA,"NRSA"
NA,40.52712,-124.17024,NA,"NRSA"
NA,41.33837,-122.9178,NA,"NRSA"
NA,40.89154,-123.80843,NA,"NRSA"
NA,39.79937,-123.74491,NA,"NRSA"
NA,41.88844,-123.41309,NA,"NRSA"
NA,39.40743,-123.74067,NA,"NRSA"
NA,37.32959,-106.68959,NA,"NRSA"
NA,39.15949,-106.57176,NA,"NRSA"
NA,39.23626,-107.41807,NA,"NRSA"
NA,39.88692,-108.45796,NA,"NRSA"
NA,37.87477,-106.56747,NA,"NRSA"
NA,37.62065,-107.02059,NA,"NRSA"
NA,38.06505,-102.33591,NA,"NRSA"
NA,40.50346,-105.89273,NA,"NRSA"
NA,40.66462,-107.29095,NA,"NRSA"
NA,38.07007,-107.73968,NA,"NRSA"
NA,39.51363,-105.23408,NA,"NRSA"
NA,39.7309,-108.67407,NA,"NRSA"
NA,40.19981,-105.62576,NA,"NRSA"
NA,46.56095,-114.78078,NA,"NRSA"
NA,44.03402,-115.81346,NA,"NRSA"
NA,46.75859,-116.35642,NA,"NRSA"
NA,47.79687,-116.50889,NA,"NRSA"
NA,43.68952,-115.085,NA,"NRSA"
NA,48.32913,-116.1561,NA,"NRSA"
NA,43.55661,-114.80021,NA,"NRSA"
NA,45.51286,-113.99451,NA,"NRSA"
NA,44.66203,-116.95473,NA,"NRSA"
NA,45.71372,-115.64173,NA,"NRSA"
NA,44.71089,-113.78403,NA,"NRSA"
NA,43.48905,-115.12612,NA,"NRSA"
NA,48.20566,-109.75453,NA,"NRSA"
NA,48.82479,-114.52056,NA,"NRSA"
NA,48.92109,-98.07447,NA,"NRSA"
NA,47.45977,-96.87626,NA,"NRSA"
NA,46.03088,-101.61667,NA,"NRSA"
NA,46.58915,-101.73285,NA,"NRSA"
NA,46.90917,-103.5468,NA,"NRSA"
NA,46.33886,-101.92956,NA,"NRSA"
NA,47.13092,-101.43027,NA,"NRSA"
NA,46.61817,-101.24902,NA,"NRSA"
NA,47.25584,-101.80795,NA,"NRSA"
NA,48.53479,-97.60145,NA,"NRSA"
NA,40.31666,-116.9006,NA,"NRSA"
NA,39.0354,-116.48406,NA,"NRSA"
NA,40.6898,-116.32585,NA,"NRSA"
NA,38.12107,-114.1774,NA,"NRSA"
NA,41.71531,-115.22807,NA,"NRSA"
NA,40.90949,-115.34215,NA,"NRSA"
NA,39.12832,-119.11575,NA,"NRSA"
NA,41.09201,-119.85305,NA,"NRSA"
NA,41.57037,-115.96684,NA,"NRSA"
NA,40.53746,-115.7215,NA,"NRSA"
NA,37.54693,-114.35664,NA,"NRSA"
NA,39.40098,-114.82179,NA,"NRSA"
NA,43.55453,-122.20408,NA,"NRSA"
NA,45.88219,-123.29801,NA,"NRSA"
NA,43.32611,-123.84609,NA,"NRSA"
NA,42.2377,-120.57559,NA,"NRSA"
NA,45.33376,-121.73108,NA,"NRSA"
NA,44.95604,-118.37558,NA,"NRSA"
NA,42.68841,-121.25764,NA,"NRSA"
NA,42.94322,-121.25805,NA,"NRSA"
NA,45.88877,-117.08959,NA,"NRSA"
NA,43.02091,-123.82502,NA,"NRSA"
NA,42.04392,-118.29377,NA,"NRSA"
NA,44.44759,-117.36697,NA,"NRSA"
NA,44.47633,-120.13192,NA,"NRSA"
NA,44.84428,-118.49367,NA,"NRSA"
NA,44.33353,-118.64122,NA,"NRSA"
NA,44.01947,-119.47631,NA,"NRSA"
NA,45.09325,-118.66608,NA,"NRSA"
NA,44.5391,-119.03187,NA,"NRSA"
NA,44.82201,-120.15535,NA,"NRSA"
NA,44.20764,-119.28908,NA,"NRSA"
NA,45.18545,-121.64106,NA,"NRSA"
NA,44.83757,-118.87883,NA,"NRSA"
NA,44.53202,-118.47835,NA,"NRSA"
NA,44.58357,-118.41064,NA,"NRSA"
NA,45.09683,-121.5505,NA,"NRSA"
NA,45.09772,-120.10121,NA,"NRSA"
NA,44.43241,-118.51285,NA,"NRSA"
NA,44.57589,-118.49073,NA,"NRSA"
NA,44.84534,-121.00327,NA,"NRSA"
NA,44.04778,-119.25261,NA,"NRSA"
NA,45.17222,-118.73584,NA,"NRSA"
NA,44.85492,-118.72644,NA,"NRSA"
NA,44.75647,-119.41316,NA,"NRSA"
NA,43.53033,-102.23158,NA,"NRSA"
NA,44.28506,-103.79325,NA,"NRSA"
NA,45.57118,-101.01628,NA,"NRSA"
NA,44.69658,-96.56419,NA,"NRSA"
NA,43.50428,-97.5413,NA,"NRSA"
NA,43.11876,-100.10102,NA,"NRSA"
NA,43.68827,-100.43669,NA,"NRSA"
NA,44.64886,-103.90376,NA,"NRSA"
NA,43.4135,-98.8775,NA,"NRSA"
NA,43.54188,-101.71777,NA,"NRSA"
NA,45.42564,-102.34969,NA,"NRSA"
NA,45.85526,-100.21397,NA,"NRSA"
NA,43.01942,-100.86819,NA,"NRSA"
NA,43.3821,-102.38916,NA,"NRSA"
NA,43.64348,-101.78264,NA,"NRSA"
NA,45.31001,-102.68721,NA,"NRSA"
NA,44.898,-100.33451,NA,"NRSA"
NA,43.26115,-97.25068,NA,"NRSA"
NA,43.93649,-103.15437,NA,"NRSA"
NA,43.52787,-101.79717,NA,"NRSA"
NA,40.8721,-110.08761,NA,"NRSA"
NA,37.80253,-112.49866,NA,"NRSA"
NA,40.51776,-110.03366,NA,"NRSA"
NA,41.08801,-111.73893,NA,"NRSA"
NA,40.89499,-110.4224,NA,"NRSA"
NA,39.60494,-111.29829,NA,"NRSA"
NA,39.34229,-109.80229,NA,"NRSA"
NA,37.9537,-112.06266,NA,"NRSA"
NA,40.75278,-110.98692,NA,"NRSA"
NA,40.65801,-109.91033,NA,"NRSA"
NA,40.06221,-110.51738,NA,"NRSA"
NA,41.17392,-111.34731,NA,"NRSA"
NA,46.15187,-120.9786,NA,"NRSA"
NA,46.94703,-120.86765,NA,"NRSA"
NA,48.66948,-118.49916,NA,"NRSA"
NA,46.26366,-121.35376,NA,"NRSA"
NA,48.04206,-121.72463,NA,"NRSA"
NA,46.72988,-120.93914,NA,"NRSA"
NA,47.42888,-120.58642,NA,"NRSA"
NA,46.57226,-123.61003,NA,"NRSA"
NA,48.75608,-119.89609,NA,"NRSA"
NA,48.08744,-124.59939,NA,"NRSA"
NA,47.74267,-122.97348,NA,"NRSA"
NA,46.3147,-123.73346,NA,"NRSA"
NA,48.1391,-118.52751,NA,"NRSA"
NA,44.34564,-109.85383,NA,"NRSA"
NA,42.41391,-110.72364,NA,"NRSA"
NA,44.42743,-107.25455,NA,"NRSA"
NA,41.25501,-109.52484,NA,"NRSA"
NA,42.7351,-106.32226,NA,"NRSA"
NA,42.81627,-110.62881,NA,"NRSA"
NA,42.24383,-106.70766,NA,"NRSA"
NA,41.65273,-110.74587,NA,"NRSA"
NA,43.68253,-106.33941,NA,"NRSA"
NA,43.88713,-108.19736,NA,"NRSA"
NA,44.48297,-109.50792,NA,"NRSA"
NA,44.30325,-106.93832,NA,"NRSA"
NA,44.73309,-106.10215,NA,"NRSA"
NA,44.98153,-110.59233,NA,"NRSA"
NA,43.00813,-108.82174,NA,"NRSA"
NA,44.20063,-108.97902,NA,"NRSA"
NA,43.38981,-108.79684,NA,"NRSA"
NA,34.27915,-111.07074,NA,"NRSA"
NA,33.75029,-109.21598,NA,"NRSA"
NA,33.94858,-109.20244,NA,"NRSA"
NA,34.34528,-109.96471,NA,"NRSA"
NA,34.55402,-113.53074,NA,"NRSA"
NA,35.91804,-109.3968,NA,"NRSA"
NA,36.35491,-109.10664,NA,"NRSA"
NA,33.23999,-109.19103,NA,"NRSA"
NA,33.75989,-109.43339,NA,"NRSA"
NA,35.83849,-109.11306,NA,"NRSA"
NA,34.54172,-118.77286,NA,"NRSA"
NA,37.04447,-119.1104,NA,"NRSA"
NA,40.03521,-122.61094,NA,"NRSA"
NA,40.10753,-122.02992,NA,"NRSA"
NA,34.34716,-118.04869,NA,"NRSA"
NA,40.25425,-123.1078,NA,"NRSA"
NA,41.70845,-123.13085,NA,"NRSA"
NA,40.84723,-123.39963,NA,"NRSA"
NA,38.67552,-121.44613,NA,"NRSA"
NA,40.85692,-122.48881,NA,"NRSA"
NA,34.16522,-119.09069,NA,"NRSA"
NA,33.79824,-116.74831,NA,"NRSA"
NA,32.89957,-116.58789,NA,"NRSA"
NA,34.23169,-116.99915,NA,"NRSA"
NA,38.16542,-120.03472,NA,"NRSA"
NA,40.81571,-121.72191,NA,"NRSA"
NA,34.39548,-119.07511,NA,"NRSA"
NA,39.71635,-121.63527,NA,"NRSA"
NA,37.72768,-122.16887,NA,"NRSA"
NA,40.7548,-123.73981,NA,"NRSA"
NA,41.33699,-122.40794,NA,"NRSA"
NA,41.49024,-122.02899,NA,"NRSA"
NA,37.54998,-118.75965,NA,"NRSA"
NA,40.43368,-120.72438,NA,"NRSA"
NA,38.57735,-120.54398,NA,"NRSA"
NA,41.66347,-123.27663,NA,"NRSA"
NA,39.44212,-122.63613,NA,"NRSA"
NA,40.62567,-122.95602,NA,"NRSA"
NA,34.25461,-118.08523,NA,"NRSA"
NA,34.66959,-119.75404,NA,"NRSA"
NA,32.92981,-116.55901,NA,"NRSA"
NA,34.67473,-120.51417,NA,"NRSA"
NA,34.14599,-116.87859,NA,"NRSA"
NA,33.72962,-116.6735,NA,"NRSA"
NA,34.6408,-119.08094,NA,"NRSA"
NA,34.68351,-119.79875,NA,"NRSA"
NA,33.33669,-116.82848,NA,"NRSA"
NA,34.42131,-119.3806,NA,"NRSA"
NA,34.14972,-117.13313,NA,"NRSA"
NA,34.5515,-119.20811,NA,"NRSA"
NA,38.87519,-122.88173,NA,"NRSA"
NA,41.57212,-123.64054,NA,"NRSA"
NA,40.68862,-122.93228,NA,"NRSA"
NA,39.58789,-122.9165,NA,"NRSA"
NA,41.19708,-122.52973,NA,"NRSA"
NA,40.49018,-123.61268,NA,"NRSA"
NA,40.6977,-123.36434,NA,"NRSA"
NA,39.65009,-123.60805,NA,"NRSA"
NA,41.8617,-122.20766,NA,"NRSA"
NA,38.36687,-122.95615,NA,"NRSA"
NA,40.72861,-124.06014,NA,"NRSA"
NA,40.44593,-122.94635,NA,"NRSA"
NA,42.003,-122.76312,NA,"NRSA"
NA,38.3109,-119.34293,NA,"NRSA"
NA,40.98044,-122.50729,NA,"NRSA"
NA,33.76053,-116.5489,NA,"NRSA"
NA,37.04453,-121.72861,NA,"NRSA"
NA,33.45407,-117.30182,NA,"NRSA"
NA,34.65926,-119.14255,NA,"NRSA"
NA,34.1869,-117.00758,NA,"NRSA"
NA,34.28771,-118.23008,NA,"NRSA"
NA,34.59402,-120.19376,NA,"NRSA"
NA,34.82946,-120.54916,NA,"NRSA"
NA,34.55734,-119.24876,NA,"NRSA"
NA,39.89248,-105.056,NA,"NRSA"
NA,39.95201,-105.1679,NA,"NRSA"
NA,38.1075,-103.3661,NA,"NRSA"
NA,38.88674,-103.68298,NA,"NRSA"
NA,40.62761,-107.27507,NA,"NRSA"
NA,39.95861,-108.11488,NA,"NRSA"
NA,38.51962,-108.38853,NA,"NRSA"
NA,37.13423,-108.16369,NA,"NRSA"
NA,39.38897,-104.86668,NA,"NRSA"
NA,40.38657,-106.07704,NA,"NRSA"
NA,38.02106,-107.39053,NA,"NRSA"
NA,40.21855,-105.36055,NA,"NRSA"
NA,40.9715,-107.019,NA,"NRSA"
NA,37.93377,-108.03855,NA,"NRSA"
NA,39.64305,-107.7104,NA,"NRSA"
NA,38.99335,-106.3951,NA,"NRSA"
NA,44.91362,-116.22571,NA,"NRSA"
NA,45.86143,-116.61914,NA,"NRSA"
NA,43.23258,-116.77989,NA,"NRSA"
NA,46.62902,-115.16426,NA,"NRSA"
NA,44.81675,-114.14713,NA,"NRSA"
NA,45.85814,-114.91584,NA,"NRSA"
NA,42.72991,-111.4436,NA,"NRSA"
NA,45.02333,-114.44525,NA,"NRSA"
NA,46.60219,-115.52497,NA,"NRSA"
NA,44.05506,-113.23232,NA,"NRSA"
NA,45.07931,-116.0938,NA,"NRSA"
NA,45.43438,-116.24657,NA,"NRSA"
NA,48.75671,-116.73369,NA,"NRSA"
NA,43.66638,-114.53681,NA,"NRSA"
NA,46.09771,-114.09283,NA,"NRSA"
NA,45.90731,-113.48004,NA,"NRSA"
NA,46.93093,-110.86907,NA,"NRSA"
NA,48.83676,-114.36791,NA,"NRSA"
NA,46.47068,-104.76994,NA,"NRSA"
NA,48.3536,-113.87986,NA,"NRSA"
NA,47.20769,-115.21949,NA,"NRSA"
NA,46.29743,-113.2271,NA,"NRSA"
NA,46.95863,-109.5488,NA,"NRSA"
NA,46.25091,-109.76885,NA,"NRSA"
NA,46.167,-112.20748,NA,"NRSA"
NA,48.48842,-104.55725,NA,"NRSA"
NA,45.31896,-105.31651,NA,"NRSA"
NA,48.91179,-107.30761,NA,"NRSA"
NA,47.30457,-102.19245,NA,"NRSA"
NA,48.21442,-97.4866,NA,"NRSA"
NA,48.74642,-100.1003,NA,"NRSA"
NA,46.5479,-102.89902,NA,"NRSA"
NA,46.19278,-97.29279,NA,"NRSA"
NA,47.61359,-97.38293,NA,"NRSA"
NA,46.69953,-102.13625,NA,"NRSA"
NA,46.03805,-101.49706,NA,"NRSA"
NA,48.42556,-101.66356,NA,"NRSA"
NA,48.47385,-97.57475,NA,"NRSA"
NA,48.85964,-100.12947,NA,"NRSA"
NA,47.20754,-103.63652,NA,"NRSA"
NA,41.40054,-119.01152,NA,"NRSA"
NA,41.21408,-116.39779,NA,"NRSA"
NA,40.32937,-116.72183,NA,"NRSA"
NA,39.0693,-116.42359,NA,"NRSA"
NA,41.74221,-118.71595,NA,"NRSA"
NA,41.31764,-115.67003,NA,"NRSA"
NA,40.86124,-117.48531,NA,"NRSA"
NA,38.32755,-114.27664,NA,"NRSA"
NA,41.47549,-115.7032,NA,"NRSA"
NA,39.218,-117.0586,NA,"NRSA"
NA,39.39698,-114.70012,NA,"NRSA"
NA,44.86339,-122.27982,NA,"NRSA"
NA,43.69991,-122.84892,NA,"NRSA"
NA,45.85907,-123.61917,NA,"NRSA"
NA,45.36827,-119.44512,NA,"NRSA"
NA,42.56842,-120.53169,NA,"NRSA"
NA,45.33711,-123.05414,NA,"NRSA"
NA,45.11462,-116.85546,NA,"NRSA"
NA,44.1384,-121.59992,NA,"NRSA"
NA,45.09665,-119.60892,NA,"NRSA"
NA,45.02468,-119.1499,NA,"NRSA"
NA,44.65353,-118.72859,NA,"NRSA"
NA,44.30712,-119.17495,NA,"NRSA"
NA,45.24921,-121.65964,NA,"NRSA"
NA,44.71049,-118.80126,NA,"NRSA"
NA,44.37471,-119.25914,NA,"NRSA"
NA,44.89811,-118.38238,NA,"NRSA"
NA,44.09685,-119.51709,NA,"NRSA"
NA,44.39835,-118.67973,NA,"NRSA"
NA,44.67177,-118.54373,NA,"NRSA"
NA,44.96688,-122.79566,NA,"NRSA"
NA,45.69002,-123.71726,NA,"NRSA"
